Model,Method,Accuracy,F1-Macro,F1-Weighted,Precision-Macro,Recall-Macro,Kappa,N_Valid,N_Total,Valid_Ratio
qwen,cor,0.565,0.48805879115157463,0.5065417949747847,0.6318491285403051,0.5411343988930196,0.4723435225618633,200,200,1.0
qwen,cor_ablation_normal,0.565,0.48805879115157463,0.5065417949747847,0.6318491285403051,0.5411343988930196,0.4723435225618633,200,200,1.0
qwen,cor_ablation_without_face,0.55,0.5015049197066741,0.5113190267335005,0.6434061930783241,0.5307212384798591,0.4535353228695468,200,200,1.0
qwen,cor_ablation_without_body,0.555,0.49794595941359393,0.5094166427300544,0.6601007479830872,0.5390194381573692,0.4615849969751965,200,200,1.0
qwen,cor_ablation_without_context,0.505,0.42987190498533506,0.44951417074556815,0.5795502283078381,0.4810056930746585,0.3991260014566643,200,200,1.0
