Model,Method,Accuracy,F1-Macro,F1-Weighted,Precision-Macro,Recall-Macro,Kappa,N_Valid,N_Total,Valid_Ratio
gemma,direct,0.6984924623115578,0.6952056521071256,0.6940813447411811,0.7251166615273923,0.7022158144662681,0.6377427184466019,199,200,0.995
gemma,cot_single,0.625,0.6082230648946377,0.6124331423682501,0.7185844806534462,0.6267700250458872,0.550575263662512,200,200,1.0
gemma,cot_multiturn_generic,0.615,0.5967915101635458,0.6021296287312319,0.6704681389463999,0.6132388451353968,0.5378567355880322,200,200,1.0
gemma,cor,0.65,0.6330150819633503,0.6369867677530806,0.7116967804083015,0.6471646997509066,0.5789726933718273,200,200,1.0
gemma,cor_ablation_normal,0.65,0.6330150819633503,0.6369867677530806,0.7116967804083015,0.6471646997509066,0.5789726933718273,200,200,1.0
gemma,cor_ablation_without_face,0.64,0.6239092418082242,0.6280747995151692,0.6483451859298631,0.6352729671695189,0.5662911872778749,200,200,1.0
gemma,cor_ablation_without_body,0.64,0.6271769279893085,0.6321852219332592,0.7001642910150939,0.6350804290459463,0.5667218293967203,200,200,1.0
gemma,cor_ablation_without_context,0.62,0.6003866659032498,0.6073425648566709,0.6718164816201918,0.6129240361998982,0.5424167619965079,200,200,1.0
