Model,Method,Accuracy,F1-Macro,F1-Weighted,Precision-Macro,Recall-Macro,Kappa,N_Valid,N_Total,Valid_Ratio
qwen,direct,0.5548780487804879,0.4318221792221144,0.4786080960349452,0.6780022446689112,0.4863799327989215,0.44755664251765037,164,200,0.82
qwen,cot_single,0.5260115606936416,0.42971142490284125,0.4556095446330743,0.5924671592775042,0.47884675309404123,0.41582935266018783,173,200,0.865
qwen,cot_multiturn_generic,0.255,0.1729865068092965,0.1804273875042975,0.43226010101010104,0.23555639762536315,0.08829468273878727,200,200,1.0
qwen,cor,0.565,0.48805879115157463,0.5065417949747847,0.6318491285403051,0.5411343988930196,0.4723435225618633,200,200,1.0
qwen,cor_ablation_without_face,0.55,0.5015049197066741,0.5113190267335005,0.6434061930783241,0.5307212384798591,0.4535353228695468,200,200,1.0
